차명,변속기,인승,기통,마력,최대토크,연료,주행거리,상담
폭스바겐 티구안 2.0 TDI 프레스티지,자동,5인승,4기통,150마력,34.7kgm,디젤,1만km,"3,680"
BMW M3 쿠페,자동,4인승,8기통,,,가솔린,19만km,"1,950"
미니 쿠퍼 1.6 SE,자동,4인승,4기통,122마력,16.3kgm,가솔린,7만km,
지프 올 뉴 그랜드체로키 3.6 V6 리미티드,자동,5인승,6기통,286마력,35.4kgm,가솔린,2만km,
인피니티 QX60 3.5 AWD,자동,7인승,6기통,269마력,34.3kgm,가솔린,4만km,
벤츠 GLS 450 4매틱,자동,7인승,,,,가솔린,3만km,
재규어 XF 2.2D 럭셔리,자동,5인승,4기통,200마력,45.9kgm,디젤,8만km,
﻿페라리 458 이탈리아,자동,2인승,8기통,570마력,55.1kgm,가솔린,4만km,
벤츠 S350 블루텍,자동,5인승,6기통,258마력,63.2kgm,디젤,4만km,
볼보 V90 크로스컨트리 2.0 T5 AWD 프로,자동,5인승,4기통,254마력,35.7kgm,가솔린,3만km,0
람보르기니 우라칸 LP610-4 스파이더 ,자동,2인승,10기통,610마력,57.1kgm,가솔린,1만km,"28,500"
포드 F150 3.5 랩터 ,자동,5인승,,,,가솔린,4만km,"6,700"
테슬라 모델 3 스탠다드 레인지 플러스 ,자동,5인승,,,,전기,6천km,"4,080"
포드 머스탱 컨버터블,자동,,,,,가솔린,8만ml,
도요타 랜드크루저 4.5,자동,,,,,가솔린,11만ml,"2,800"
BMW X5 xDrive 30d ,자동,5인승,6기통,245마력,55.1kgm,디젤,10만km,
벤츠 E220 d 쿠페,자동,4인승,4기통,194마력,40.8kgm,디젤,3만km,
벤츠 S63L AMG 4매틱 플러스,자동,5인승,8기통,612마력,91.8kgm,가솔린,1만km,
렉서스 LS 460L 이그제큐티브,자동,5인승,8기통,380마력,51kgm,가솔린,8만km,
벤츠 S63 AMG 4매틱 플러스 쿠페,자동,4인승,8기통,612마력,91.8kgm,가솔린,1만km,
벤츠 S63L AMG 4매틱,자동,5인승,8기통,585마력,91.8kgm,가솔린,8만km,
벤츠 S350 d 4매틱,자동,5인승,6기통,258마력,63.2kgm,디젤,11만km,
벤츠 S400L 4매틱,자동,5인승,6기통,333마력,49kgm,가솔린,10만km,
벤츠 S580L 4매틱,자동,5인승,,,,가솔린,200km,계약
벤틀리 뉴 컨티넨탈 GTC 6.0 W12,자동,,,,,가솔린,1만km,"34,290"
벤츠 S400 d 4매틱,자동,5인승,6기통,330마력,71.4kgm,디젤,599km,
벤틀리 벤테이가 6.0 W12 코리안 에디션,자동,5인승,12기통,608마력,91.8kgm,가솔린,2만km,계약
포르쉐 911 카레라 4 카브리올레,자동,4인승,6기통,370마력,51kgm,가솔린,6만km,
벤틀리 컨티넨탈 플라잉스퍼 4.0,자동,4인승,8기통,507마력,67.3kgm,가솔린,5만km,
혼다 어코드 3.5 쿠페,자동,4인승,,,,가솔린,28만km,685
미쓰비시 이클립스 2.4 GS ,자동,4인승,4기통,165마력,22.4kgm,가솔린,10만km,550
벤틀리 컨티넨탈 플라잉스퍼 6.0,자동,4인승,12기통,625마력,81.6kgm,가솔린,5만km,
롤스로이스 레이스 6.6 A/T,자동,4인승,12기통,632마력,81.6kgm,가솔린,2만km,
페라리 488 스파이더,자동,2인승,8기통,670마력,77.5kgm,가솔린,1만km,
벤츠 GLS 350d 4매틱,자동,7인승,6기통,258마력,63.2kgm,디젤,12만km,"6,650"
벤츠 S63L AMG 4매틱,자동,5인승,8기통,585마력,91.8kgm,가솔린,4만km,"9,570"
닛산 370Z 쿠페,자동,2인승,6기통,333마력,37kgm,가솔린,10만km,"1,650"
벤츠 S500L,자동,5인승,8기통,388마력,54.1kgm,가솔린,27만km,
지프 랭글러 2.8 루비콘 2도어,자동,4인승,4기통,200마력,46.9kgm,디젤,13만km,"2,450"
닷지 램 픽업 5.7L,자동,,,,,가솔린,13만km,
벤츠 SLK350,자동,2인승,6기통,272마력,35.7kgm,가솔린,9만km,"1,270"
스즈키 짐니 1.5 4WD 시에라 ,수동,4인승,,,,가솔린,9천km,"4,200"
포르쉐 911 터보S,자동,4인승,6기통,530마력,71.4kgm,가솔린,2만km,"10,500"
BMW 4 1세대  430i 컨버터블 M 스포츠 ,자동,4인승,4기통,252마력,35.7kgm,가솔린,2만km,"1,000"
포드 머스탱 쿠페,자동,4인승,4기통,291마력,44.9kgm,가솔린,2만km,"3,600"
지프 올 뉴 그랜드체로키 3.6 V6 리미티드,자동,5인승,6기통,286마력,35.4kgm,가솔린,1만km,"4,150"
벤츠 C  4세대  C220 블루텍 익스클루시브 ,자동,5인승,4기통,170마력,40.8kgm,디젤,8만km,"2,450"
포드 E350 6.8,자동,,,,,가솔린,9만ml,
쉐보레 임팔라 3.4 V6 ,자동,5인승,,,,가솔린,12만ml,390
쉐보레 익스프레스밴 6.0,자동,,,,,가솔린,5만km,
BMW 5 6세대  528i xDrive 럭셔리 ,자동,5인승,4기통,245마력,35.7kgm,가솔린,7만km,"2,500"
BMW 5 7세대 520d xDrive  M 스포츠 플러스 ,자동,5인승,4기통,190마력,40.8kgm,디젤,9만km,"3,500"
벤츠 E 10세대 E220 d 4매틱  익스클루시브 ,자동,5인승,4기통,194마력,40.8kgm,디젤,11만km,"3,800"
포르쉐 카이엔 4.5 S,자동,5인승,8기통,340마력,42.8kgm,가솔린,17만km,"1,500"
마이바흐 57s 6.0 V12,자동,4인승,12기통,612마력,102kgm,가솔린,13만km,
벤츠 C63 S AMG 쿠페,자동,4인승,8기통,510마력,71.4kgm,가솔린,1만km,"8,500"
마세라티 르반떼 3.0 S 럭셔리,자동,5인승,6기통,430마력,59.2kgm,가솔린,5만km,"8,000"
시트로엥 C4 1.6  ,자동,,,,,디젤,6만km,"1,700"
벤츠 CLS 400 d 4매틱 AMG 라인,자동,5인승,6기통,340마력,71.4kgm,디젤,4만km,"7,950"
마세라티 콰트로포르테 3.0 디젤 그란루소,자동,5인승,6기통,275마력,61.2kgm,디젤,8만km,"6,650"
람보르기니 아벤타도르  LP740-4 S 로드스터 ,자동,2인승,,,,가솔린,7천km,0
포드 익스플로러 2.3 에코부스트  리미티드 ,자동,7인승,4기통,274마력,41.5kgm,가솔린,6만km,"2,940"
벤틀리 벤테이가 6.0 W12,자동,,,,,가솔린,2만km,"22,200"
캐딜락 에스컬레이드 6.2 V8 AWD,자동,7인승,8기통,426마력,63.5kgm,가솔린,2만km,"7,490"
BMW 840i xDrive 쿠페 M 스포츠 퍼스트 에디션,자동,4인승,6기통,340마력,51kgm,가솔린,2만km,"9,800"
랜드로버 레인지로버 스포츠 3.0 SDV6 SE,자동,5인승,6기통,245마력,61.2kgm,디젤,10만km,
BMW 318iS,자동,5인승,4기통,140마력,18.4kgm,가솔린,7만km,
쉐보레 서버밴 5.3 4WD,자동,,,,,가솔린,4만km,
벤츠 S350 d,자동,5인승,6기통,286마력,61.2kgm,디젤,20km,
BMW Z8 5.0,수동,2인승,8기통,400마력,51kgm,가솔린,5만km,
쉐보레 서버밴 6.2 4WD 하이컨트리,자동,,,,,가솔린,20km,
페라리 로마 3.9 V8,자동,4인승,8기통,620마력,77.5kgm,가솔린,3천km,
BMW X7 xDrive 30d 6인승 M 스포츠,자동,6인승,6기통,265마력,63.2kgm,디젤,1만km,
페라리 F430 스쿠데리아,자동,2인승,8기통,510마력,47.9kgm,가솔린,5만km,
롤스로이스 던 V12 6.6,자동,4인승,12기통,571마력,79.6kgm,가솔린,9천km,
포레스트리버 캠핑 트레일러,자동,,,,,기타,미등록,"3,990"
벤츠 E350 아방가르드,자동,5인승,6기통,272마력,35.7kgm,가솔린,10만km,"1,480"
﻿푸조 5008 SUV 1.6 BlueHDi GT 라인,자동,7인승,4기통,120마력,30.6kgm,디젤,2만km,"3,300"
렉서스 IS 250 AWD,자동,5인승,,,,가솔린,7만km,550
벤츠 CLA250 4매틱,자동,5인승,4기통,211마력,35.7kgm,가솔린,5만km,"2,800"
벤츠 E350 4매틱 아방가르드,자동,5인승,6기통,306마력,37.7kgm,디젤,11만km,"2,900"
BMW M550d xDrive,자동,5인승,6기통,400마력,77.5kgm,디젤,4만km,"5,650"
벤츠 S350 d 4매틱,자동,5인승,6기통,286마력,61.2kgm,디젤,6만km,"8,000"
벤츠 E300 4매틱 아방가르드 인텔리전트 드라이브,자동,5인승,4기통,245마력,37.7kgm,가솔린,2만km,"5,000"
폭스바겐 티구안 2.0 TDI 4모션 프레스티지,자동,5인승,4기통,150마력,34.7kgm,디젤,1만km,"4,000"
BMW 320d,자동,5인승,4기통,190마력,40.8kgm,디젤,5만km,"1,990"
벤츠 C220 블루텍 아방가르드,자동,5인승,4기통,170마력,40.8kgm,디젤,9만km,"2,250"
벤츠 C200 카브리올레,자동,4인승,4기통,204마력,30.6kgm,가솔린,7천km,"5,000"
벤츠 GLA45 AMG 4매틱,자동,5인승,4기통,381마력,48.5kgm,가솔린,4만km,"4,100"
BMW M4 쿠페 컴페티션,자동,4인승,6기통,450마력,56.1kgm,가솔린,6만km,"5,800"
아우디 A4 2.0 TFSI 콰트로 다이나믹,자동,5인승,4기통,211마력,35.7kgm,가솔린,8만km,"1,150"
BMW 320i M 스포츠,자동,5인승,4기통,184마력,27.5kgm,가솔린,4만km,"2,950"
벤츠 C220 d 4매틱 아방가르드,자동,5인승,4기통,194마력,40.8kgm,디젤,5천km,"4,300"
혼다 올 뉴 어코드 2.0 하이브리드 EX-L,자동,5인승,4기통,215마력,,가솔린+전기,2만km,"3,000"
BMW 320d GT,자동,5인승,4기통,184마력,38.8kgm,디젤,2만km,"3,000"
BMW 420d xDrive 그란쿠페 스포츠,자동,5인승,4기통,184마력,38.8kgm,디젤,10만km,"2,000"
BMW 320i 럭셔리 라인,자동,5인승,4기통,184마력,27.5kgm,가솔린,4만km,"2,850"
BMW 330i xDrive M 스포츠,자동,5인승,4기통,258마력,40.8kgm,가솔린,2만km,"4,150"
캐딜락 CT6 3.6 AWD 플래티넘,자동,5인승,6기통,334마력,39.4kgm,가솔린,1만km,"5,990"
벤츠 CLA200 CDI 4매틱,자동,5인승,4기통,136마력,30.6kgm,디젤,10만km,"1,750"
벤츠 CLS 400 d 4매틱,자동,5인승,6기통,340마력,71.4kgm,디젤,2만km,"6,990"
렉서스 뉴 제너레이션 ES 300h 이그제큐티브,자동,5인승,4기통,218마력,22.4kgm,가솔린+전기,2만km,"5,600"
폭스바겐 더 뉴 파사트 2.0 TSI,자동,5인승,4기통,177마력,25.5kgm,가솔린,1만km,"2,000"
마세라티 콰트로포르테 3.0 디젤,자동,5인승,6기통,275마력,61.2kgm,디젤,4만km,"8,000"
BMW 528i,자동,5인승,4기통,245마력,35.7kgm,가솔린,9만km,"2,000"
캐딜락 ATS 2.0T 프리미엄,자동,5인승,4기통,272마력,40.8kgm,가솔린,3만km,"1,900"
벤츠 SLK350 블루이피션시,자동,2인승,6기통,306마력,37.7kgm,가솔린,7만km,"2,590"
푸조 5008 SUV 1.6 BlueHDi 알뤼르,자동,7인승,4기통,120마력,30.6kgm,디젤,4만km,"2,800"
지프 올 뉴 컴패스 2.4 리미티드,자동,5인승,4기통,175마력,23.5kgm,가솔린,2만km,"2,500"
벤츠 E400 4매틱 익스클루시브,자동,5인승,6기통,333마력,49kgm,가솔린,5만km,"5,000"
벤츠 E300 아방가르드,자동,5인승,6기통,252마력,34.7kgm,가솔린,7만km,"2,900"
아우디 A5 45 TFSI 콰트로 스포트백 프리미엄,자동,5인승,4기통,252마력,37.7kgm,가솔린,1만km,"4,000"
포드 머스탱 GT 쿠페,자동,4인승,8기통,422마력,54.1kgm,가솔린,3만km,"3,500"
렉서스 뉴 제너레이션 ES 300h 럭셔리 플러스,자동,5인승,4기통,218마력,22.4kgm,가솔린+전기,1만km,"5,990"
링컨 MKX 2.7 에코부스트 AWD 리저브,자동,5인승,6기통,340마력,53kgm,가솔린,2만km,"2,800"
BMW 320d M 퍼포먼스,자동,5인승,4기통,184마력,38.8kgm,디젤,10만km,"2,000"
마세라티 기블리 3.0 V6 그란스포츠,자동,5인승,6기통,350마력,51kgm,가솔린,2만km,"6,900"
벤츠 SLK200 블루이피션시,자동,2인승,4기통,184마력,27.5kgm,가솔린,9만km,"2,500"
BMW 750Li xDrive,자동,5인승,8기통,449마력,66.3kgm,가솔린,5만km,"8,000"
혼다 어코드 2.0 하이브리드 투어링,자동,5인승,4기통,215마력,,가솔린+전기,2만km,"3,300"
BMW 520i M 스포츠,자동,5인승,4기통,184마력,29.6kgm,가솔린,8천km,"4,390"
BMW 420i 그란쿠페 스페셜 에디션,자동,5인승,4기통,184마력,27.5kgm,가솔린,6천km,"3,300"
BMW 320d,자동,5인승,4기통,190마력,40.8kgm,디젤,2만km,"2,190"
벤츠 E220 블루텍 아방가르드 스포츠,자동,5인승,4기통,170마력,40.8kgm,디젤,5만km,"1,950"
렉서스 뉴 제너레이션 ES 300h 럭셔리 플러스,자동,5인승,4기통,218마력,22.4kgm,가솔린+전기,1만km,"4,250"
벤츠 C63 AMG,자동,5인승,8기통,476마력,66.3kgm,가솔린,8만km,"4,200"
BMW 328i M 스포츠,자동,5인승,6기통,245마력,35.7kgm,가솔린,6만km,"2,150"
볼보 뉴 V60 크로스컨트리 T5 AWD 프로,자동,5인승,4기통,254마력,35.7kgm,가솔린,2만km,"4,250"
닛산 맥시마 3.5 플래티넘,자동,5인승,6기통,303마력,36.1kgm,가솔린,4만km,"2,000"
미니 쿠퍼 컨버터블 S 2.0 JCW,자동,4인승,4기통,231마력,32.6kgm,가솔린,2만km,"3,550"
포드 머스탱 쿠페,자동,4인승,4기통,291마력,44.9kgm,가솔린,1만km,"2,850"
BMW 740Ld xDrive,자동,5인승,6기통,320마력,69.4kgm,디젤,4만km,"5,490"
아우디 A6 4세대 2.0 TDI  다이내믹 ,자동,5인승,4기통,177마력,38.8kgm,디젤,11만km,"1,490"
벤츠 CLS 350 블루이피션시,자동,4인승,6기통,306마력,37.7kgm,가솔린,9만km,"1,750"
BMW 520d M 스포츠 플러스,자동,5인승,4기통,190마력,40.8kgm,디젤,8만km,"3,550"
벤츠 AMG GT,자동,2인승,8기통,462마력,61.2kgm,가솔린,3만km,
랜드로버 레인지로버 이보크 2.0 TD4 SE,자동,5인승,4기통,180마력,43.9kgm,디젤,2만km,
벤츠 마이바흐 S500L,자동,5인승,8기통,455마력,71.4kgm,가솔린,7만km,
BMW Z4 sDrive20i 스포츠,자동,2인승,4기통,197마력,32.6kgm,가솔린,5천km,"5,600"
롤스로이스 팬텀 6.7 V12,자동,5인승,12기통,460마력,73.4kgm,가솔린,9만km,
닛산 GT-R R35,자동,4인승,6기통,545마력,64.0kgm,가솔린,2만km,
아우디 Q8 50 TDI 콰트로 프리미엄,자동,5인승,6기통,286마력,61.2kgm,디젤,1만km,
포르쉐 뉴 카이엔 3.0 쿠페,자동,4인승,6기통,340마력,45.9kgm,가솔린,4천km,
벤츠 E240,자동,5인승,6기통,177마력,24.5kgm,가솔린,6만km,950
포드 F150 3.5 에코부스트 4WD 플래티넘,자동,,,,,가솔린,6만km,"6,250"
쉐보레 실버라도 픽업 6.6 V8 3500,자동,,,,,가솔린,3만ml,"2,500"
지프 랭글러 2.8 사하라 4도어,자동,5인승,4기통,200마력,46.9kgm,디젤,8만km,"2,750"
﻿볼보 뉴 XC60 T6 AWD 인스크립션,자동,5인승,4기통,320마력,40.8kgm,가솔린,2만km,"6,950"
닛산 휘가로 1.0  ,자동,2인승,,,,가솔린,18만km,"2,150"
볼보 S90 D5 AWD 모멘텀,자동,5인승,4기통,235마력,49kgm,디젤,1만km,
벤츠 S400L 4매틱,자동,5인승,6기통,333마력,49kgm,가솔린,7만km,
볼보 S90 D5 AWD 모멘텀,자동,5인승,4기통,235마력,49kgm,디젤,2만km,
아우디 A7 55 TFSI 콰트로 프리미엄,자동,4인승,6기통,340마력,51kgm,가솔린,1만km,
볼보 S90 D5 AWD 인스크립션,자동,5인승,4기통,235마력,49kgm,디젤,1만km,
렉서스 뉴 제너레이션 ES 300h 럭셔리 플러스,자동,5인승,4기통,218마력,22.4kgm,가솔린+전기,5만km,
BMW 740Li xDrive M 스포츠,자동,5인승,6기통,326마력,45.9kgm,가솔린,7만km,
BMW 420i 그란쿠페 M 스포츠,자동,5인승,4기통,184마력,27.5kgm,가솔린,2만km,
벤츠 CLA250 4매틱,자동,5인승,4기통,211마력,35.7kgm,가솔린,3만km,
벤츠 E220 d 아방가르드,자동,5인승,4기통,194마력,40.8kgm,디젤,2만km,
벤츠 GLC 300 4매틱 쿠페 AMG 라인,자동,5인승,4기통,245마력,37.7kgm,가솔린,3만km,
포르쉐 파나메라 2.9 4S,자동,4인승,6기통,440마력,56.1kgm,가솔린,2만km,
벤츠 CLS 400 d 4매틱 AMG 라인,자동,5인승,6기통,340마력,71.4kgm,디젤,2만km,"8,390"
포르쉐 911 카레라 4 GTS 카브리올레,자동,4인승,6기통,450마력,56.1kgm,가솔린,3만km,"16,300"
BMW X6 xDrive 30d,자동,5인승,6기통,258마력,57.1kgm,디젤,2만km,"6,950"
벤츠 E  7세대  E240 ,자동,5인승,6기통,170마력,23kgm,가솔린,19만km,300
벤츠 G63 AMG 에디션,자동,5인승,8기통,585마력,86.7kgm,가솔린,34km,
아우디 A4 4세대  2.0 TDI ,자동,5인승,4기통,143마력,32.6kgm,디젤,20만km,600
벤츠 E  10세대  E300 4매틱 AMG 라인 ,자동,5인승,4기통,245마력,37.7kgm,가솔린,8만km,"5,000"
스마트 포투 카브리오 MHD 펄스,자동,2인승,3기통,71마력,9.4kgm,가솔린,4만km,"1,490"
BMW 730Ld xDrive,자동,5인승,6기통,265마력,63.2kgm,디젤,10만km,"5,090"
폭스바겐 시로코 2.0 TDi R-라인,자동,4인승,4기통,170마력,35.7kgm,디젤,18만km,690
지프 올 뉴 그랜드체로키 3.0 CRD 오버랜드 WK2,자동,5인승,6기통,241마력,56.1kgm,디젤,20만km,"1,690"
폭스바겐 제타 1.6 TDI 블루모션,자동,5인승,4기통,105마력,25.5kgm,디젤,8만km,710
폭스바겐 티구안 2.0 TDI,자동,5인승,4기통,140마력,32.6kgm,디젤,7만km,"1,200"
아우디 A6 35 TDI 프리미엄,자동,5인승,4기통,190마력,40.8kgm,디젤,6만km,"2,290"
BMW 320i CP,자동,5인승,4기통,156마력,20.4kgm,가솔린,13만km,480
벤츠 E250 CDI 4매틱 아방가르드,자동,5인승,4기통,204마력,51kgm,디젤,8만km,"2,220"
벤츠 E300 아방가르드,자동,5인승,6기통,252마력,34.7kgm,가솔린,11만km,"2,030"
BMW 3 6세대 320d  ,자동,5인승,4기통,190마력,40.8kgm,디젤,1만km,"3,200"
BMW 520d M 스포츠 플러스,자동,5인승,4기통,190마력,40.8kgm,디젤,2만km,
미니 쿠퍼 클럽맨 S 2.0,자동,5인승,4기통,192마력,28.6kgm,가솔린,2천km,
닷지 바이퍼 RT-10,수동,,,,,가솔린,3만km,
허머 H2 6.0 ,자동,5인승,,,,가솔린,13만ml,
BMW 330e M 스포츠,자동,5인승,4기통,292마력,42.8kgm,가솔린+전기,2천km,
닷지 램 픽업 5.7L 레블,자동,,,,,가솔린,3만km,"5,760"
포르쉐 파나메라 3.0 4,자동,4인승,6기통,330마력,45.9kgm,가솔린,6만km,
벤츠 G320S,자동,,,,,가솔린,11만km,
마세라티 르반떼 3.0 그란스포츠,자동,5인승,6기통,350마력,51kgm,가솔린,3만km,
포드 F150 3.5 에코부스트 4WD 플래티넘,자동,,,,,가솔린,35ml,
포드 F150 3.5 에코부스트 4WD 플래티넘,자동,,,,,가솔린,31ml,
포르쉐 718 박스터 4.0 GTS,자동,2인승,,,,가솔린,130km,
페라리 488 GTB 3.9 V8,자동,2인승,8기통,670마력,77.5kgm,가솔린,1만km,
도요타 시에나 3.5 XL30,자동,7인승,6기통,266마력,33.9kgm,가솔린,6만ml,"1,300"
롤스로이스 컬리넌 6.8 V12,자동,,,,,가솔린,4천km,
허머 H2 6.0 ,자동,5인승,,,,가솔린,14만km,"3,300"
BMW 520i,자동,5인승,6기통,150마력,19.4kgm,가솔린,18만km,
볼보 S80 4.4 AWD,자동,5인승,8기통,315마력,44.9kgm,가솔린,21만km,
어큐라 TL 3.2,자동,5인승,,,,가솔린,9만ml,
아우디 Q7 3.0 TDI 콰트로,자동,7인승,6기통,233마력,51kgm,디젤,23만km,
벤츠 S350L,자동,5인승,6기통,272마력,35.7kgm,가솔린,22만km,
랜드로버 레인지로버 이보크 2.0 TD4 HSE 다이나믹,자동,5인승,4기통,180마력,43.9kgm,디젤,11만km,
BMW X5 xDrive 30d 비전 100 에디션,자동,5인승,6기통,258마력,57.1kgm,디젤,7만km,
BMW 320d 스포츠,자동,5인승,4기통,184마력,38.8kgm,디젤,17만km,
폭스바겐 골프 7세대 2.0 TDI  40주년 ,자동,5인승,4기통,150마력,32.6kgm,디젤,10만km,"1,690"
아우디 RS7 4.0 TFSI 콰트로 익스클루시브 4G,자동,4인승,8기통,560마력,71.4kgm,가솔린,4만km,"5,490"
미니 쿠퍼 컨트리맨 1세대 1.6  ,자동,5인승,4기통,122마력,16.3kgm,가솔린,13만km,860
쉐보레 서버밴 5.3 2WD,자동,,,,,가솔린,10만km,
마세라티 르반떼 3.0 S 프리미엄,자동,5인승,6기통,430마력,59.2kgm,가솔린,1만km,
벤츠 G63 AMG,자동,5인승,8기통,585마력,86.7kgm,가솔린,2만km,
롤스로이스 고스트 6.7 V12,자동,,,,,가솔린,50km,
쉐보레 콜벳 스팅레이 C8 Z51,자동,2인승,,,,가솔린,4천km,
벤츠 S580L 4매틱,자동,5인승,,,,가솔린,12km,
캐딜락 에스컬레이드 6.2 V8 ESV 4WD 플래티넘,자동,,,,,가솔린,100km,
벤츠 G230 GE,자동,5인승,,,,가솔린,30만km,
맥라렌 720S 쿠페,자동,2인승,8기통,720마력,71.4kgm,가솔린,1천km,
쉐보레 익스프레스밴 5.3  ,자동,9인승,,,,가솔린/LPG겸용,12만km,"1,900"
쉐보레 익스프레스밴 6.0 롱밴,자동,,,,,가솔린,3만km,"6,700"
﻿마세라티 콰트로포르테 3.0 디젤 그란루소,자동,5인승,6기통,275마력,61.2kgm,디젤,6만km,
포드 머스탱 쿠페,자동,4인승,4기통,291마력,44.9kgm,가솔린,1만km,계약
폭스바겐 골프 7세대  2.0 TDI ,자동,5인승,4기통,150마력,32.6kgm,디젤,7만km,"1,400"
람보르기니 가야르도 LP570-4 슈퍼레제라,자동,2인승,10기통,570마력,55.1kgm,가솔린,8만km,"12,800"
도요타 툰드라 5.7 V8 4WD,자동,5인승,,,,가솔린,2만ml,
벤츠 G500 4x4²,자동,,,,,가솔린,170km,
벤츠 G500 4x4²,자동,,,,,가솔린,100km,
랜드로버 뉴 레인지로버 4.4 SDV8 오토바이오그래피,자동,5인승,8기통,339마력,75.5kgm,디젤,4만km,"13,500"
BMW 4 1세대 420d xDrive 쿠페 스포츠 ,자동,4인승,4기통,184마력,38.8kgm,디젤,12만km,"1,590"
벤츠 ML350 블루텍 4매틱,자동,5인승,6기통,258마력,63.2kgm,디젤,4만km,
벤츠 G63 AMG,자동,5인승,8기통,585마력,86.7kgm,가솔린,2천km,
벤츠 S63 AMG 4매틱 쿠페,자동,4인승,8기통,585마력,91.8kgm,가솔린,2만km,
포르쉐 911 터보 S 카브리올레,자동,4인승,6기통,580마력,76.5kgm,가솔린,1만km,
벤틀리 컨티넨탈 GT 4.0 V8,자동,4인승,8기통,507마력,67.3kgm,가솔린,5만km,"12,000"
BMW 4 1세대 420d 쿠페  M 스포츠 ,자동,4인승,4기통,184마력,38.8kgm,디젤,13만km,"2,150"
벤츠 GLC 220d 4매틱,자동,5인승,4기통,170마력,40.8kgm,디젤,12만km,"3,250"
렉서스 LS 세대  400 ,자동,5인승,,,,가솔린,30만km,"4,000"
쉐보레 콜벳 스팅레이 컨버터블,자동,2인승,,,,가솔린,1만km,
미니 쿠퍼 컨버터블 S 2.0,자동,4인승,4기통,192마력,28.6kgm,가솔린,2만km,
벤틀리 컨티넨탈 GT 4.0 V8,자동,4인승,8기통,507마력,67.3kgm,가솔린,5만km,
벤츠 E  10세대  E220 d 4매틱 익스클루시브 ,자동,5인승,4기통,194마력,40.8kgm,디젤,3만km,"47,500,000"
벤츠 E300 아방가르드,자동,5인승,4기통,245마력,37.7kgm,가솔린,2만km,"4,290"
벤틀리 컨티넨탈 플라잉스퍼 4.0,자동,4인승,8기통,507마력,67.3kgm,가솔린,6만km,
마세라티 그란투리스모 스포츠 4.7,자동,4인승,8기통,460마력,53kgm,가솔린,2만km,
캐딜락 에스컬레이드 6.2 V8 ESV AWD,자동,,,,,가솔린,6만km,
지프 랭글러 3.6 루비콘 2도어,자동,4인승,6기통,284마력,35.4kgm,가솔린,3만km,
BMW i8 로드스터,자동,2인승,3기통,374마력,58.1kgm,가솔린+전기,2만km,
람보르기니 우루스 4.0 V8,자동,5인승,8기통,650마력,86.7kgm,가솔린,1만km,
랜드로버 디스커버리 스포츠 2.0 TD4 HSE 럭셔리,자동,5인승,4기통,180마력,43.9kgm,디젤,5만km,
아우디 Q7 45 TFSI 콰트로,자동,5인승,4기통,252마력,37.7kgm,가솔린,2만km,
아우디 A6 35 TDI 콰트로 프리미엄,자동,5인승,4기통,190마력,40.8kgm,디젤,9만km,
크라이슬러 더 뉴 300C 3.6 V6 리무진,자동,,,,,가솔린,16만km,"5,900"
링컨 네비게이터 3.5 4WD 블랙 라벨 L,자동,9인승,,,,가솔린,2만km,계약
크라이슬러 더 뉴 300C 3.6 V6 리무진,자동,,,,,가솔린,7만ml,"5,500"
BMW L7,자동,4인승,12기통,326마력,50kgm,가솔린,16만km,"2,450"
벤츠 S560L 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,1만km,"12,900"
BMW X3 3.0i,자동,5인승,6기통,218마력,26kgm,가솔린,10만km,
허머 H2 SUT 6.2,자동,5인승,,,,가솔린,13만km,
벤츠 AMG GT S 에디션 1,자동,2인승,8기통,510마력,66.3kgm,가솔린,4만km,
벤츠 스프린터 3.5,자동,,,,,가솔린,5만km,
벤츠 G350 d 스포츠 패키지,자동,5인승,6기통,245마력,61.2kgm,디젤,4만km,
재규어 뉴 XJ 3.0d V6 SWB 프리미엄 럭셔리,자동,5인승,6기통,300마력,71.4kgm,디젤,4만km,
아우디 A4 45 TFSI,자동,5인승,4기통,252마력,37.7kgm,가솔린,5만km,"2,300"
랜드로버 레인지로버 스포츠 3.0 SDV6 SE,자동,5인승,6기통,255마력,61.2kgm,디젤,28만km,
볼보 XC60 D5 AWD 2.4,자동,5인승,5기통,215마력,42.8kgm,디젤,17만km,"1,970"
랜드로버 디스커버리4 3.0 SDV6 SE,자동,7인승,6기통,255마력,61.2kgm,디젤,19만km,
벤츠 S450L 4매틱,자동,5인승,6기통,367마력,51kgm,가솔린,1천km,"14,990"
벤츠 S600L,자동,5인승,12기통,517마력,84.7kgm,가솔린,11만km,"1,990"
쉐보레 익스프레스밴 캠핑카,자동,,,,,가솔린,28만km,"1,990"
미니 쿠퍼 3세대 S 2.0  ,자동,4인승,4기통,192마력,28.6kgm,가솔린,5만km,"1,950"
포드 F150 3.5 에코부스트 4WD 리미티드,자동,5인승,,,,가솔린,2만km,
벤틀리 뉴 컨티넨탈 GT 6.0 W12,자동,,,,,가솔린,684km,
벤츠 CLS 300d AMG 라인,자동,5인승,4기통,245마력,51kgm,디젤,4천km,
포르쉐 911 카레라 4 카브리올레,자동,4인승,6기통,370마력,51kgm,가솔린,2만km,
쉐보레 콜벳 스팅레이,자동,,,,,가솔린,7만ml,
미니 쿠퍼 컨버터블 3세대  1.5  ,자동,4인승,3기통,136마력,22.4kgm,가솔린,2만km,"1,650"
