차명,변속기,인승,기통,마력,최대토크,연료,주행거리,상담
미니 쿠퍼 S 2.0 5도어,자동,5인승,4기통,192마력,28.6kgm,가솔린,3만km,
아우디 A7 3.0 TDI 콰트로 다이내믹,자동,4인승,6기통,245마력,51kgm,디젤,9만km,
벤츠 AMG GT 4도어 43 4매틱 플러스,자동,5인승,6기통,367마력,51kgm,가솔린,91km,"1,732"
마세라티 기블리 3.0 V6 S Q4,자동,5인승,6기통,410마력,56.1kgm,가솔린,9만km,
벤츠 E220 d 익스클루시브,자동,5인승,4기통,194마력,40.8kgm,디젤,9만km,
벤츠 S550L,자동,5인승,,,,가솔린,11만km,
벤츠 GLE 350d 4매틱 쿠페,자동,5인승,6기통,258마력,63.2kgm,디젤,6만km,
BMW 328i 컨버터블,자동,4인승,6기통,231마력,27.5kgm,가솔린,5만km,
벤츠 S350 블루텍,자동,5인승,6기통,258마력,63.2kgm,디젤,15만km,
포르쉐 파나메라 3.6 4 4WD,자동,4인승,6기통,310마력,40.8kgm,가솔린,8만km,"5,555"
랜드로버 디스커버리4 3.0 SDV6 SE,자동,7인승,6기통,255마력,61.2kgm,디젤,8만km,
벤츠 CLA200 d,자동,5인승,4기통,136마력,30.6kgm,디젤,7만km,"2,149"
미니 쿠퍼 컨트리맨 D 2.0 SE,자동,5인승,4기통,112마력,27.5kgm,디젤,11만km,899
벤츠 G63 AMG 에디션 463,자동,5인승,8기통,571마력,77.5kgm,가솔린,1만km,"16,000"
벤츠 S580L 4매틱,자동,5인승,,,,가솔린,28km,
포르쉐 뉴 911 카레라,자동,4인승,6기통,392마력,45.9kgm,가솔린,16km,"15,770"
캐딜락 에스컬레이드 6.2 V8 ESV 4WD 플래티넘,자동,,,,,가솔린,50km,
벤츠 S560L 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,153km,
링컨 네비게이터 3.5 4WD 리저브 L,자동,8인승,,,,가솔린,61km,"14,500"
벤츠 S450L 4매틱 마일드 하이브리드 ,자동,5인승,,,,가솔린,2만km,"12,200"
링컨 네비게이터 3.5 4WD 리저브 L,자동,8인승,,,,가솔린,114km,"14,500"
링컨 네비게이터 3.5 4WD 리저브 L,자동,8인승,,,,가솔린,165km,"14,700"
인피니티 JX 35 4WD,자동,7인승,6기통,265마력,34.3kgm,가솔린,4만km,"1,830"
렉서스 CT 200h 슈프림,자동,5인승,4기통,136마력,,가솔린+전기,14만km,"1,570"
렉서스 IS F 5.0,자동,4인승,8기통,423마력,51.5kgm,가솔린,8만km,"3,550"
인피니티 JX 35 4WD,자동,7인승,6기통,265마력,34.3kgm,가솔린,7만km,"1,540"
닛산 맥시마 3.5 플래티넘,자동,5인승,6기통,303마력,36.1kgm,가솔린,4만km,"2,090"
렉서스 LS 430 P 그레이드,자동,5인승,8기통,293마력,44.2kgm,가솔린,15만km,950
혼다 인사이트 1.3 CVT 플러스,자동,5인승,4기통,98마력,17kgm,가솔린+전기,7만km,790
폭스바겐 골프 2.0 TDI 스타일 에디션,자동,5인승,4기통,140마력,32.6kgm,디젤,13만km,729
인피니티 QX30 2.0T AWD 에센셜,자동,5인승,4기통,211마력,35.7kgm,가솔린,1만km,
﻿BMW 740Li xDrive 디자인 퓨어 엑설런스,자동,5인승,6기통,340마력,45.9kgm,가솔린,2만km,
포르쉐 뉴 카이맨 3.4 S,자동,2인승,6기통,325마력,37.7kgm,가솔린,19만km,"4,250"
벤츠 S350L 블루텍,자동,5인승,6기통,258마력,63.2kgm,디젤,14만km,"6,790"
페라리 로마 3.9 V8,자동,4인승,8기통,620마력,77.5kgm,가솔린,334km,
부가티 베이론 16.4 그랜드 스포츠,자동,2인승,,,,가솔린,3천km,
부가티 베이론 16.4 그랜드 스포츠,자동,2인승,,,,가솔린,3천km,
BMW 3 5세대 335i 컨버터블  ,자동,4인승,6기통,306마력,40.8kgm,가솔린,11만km,"1,650"
BMW 528i,자동,5인승,6기통,231마력,27.6kgm,가솔린,10만km,
랜드로버 뉴 레인지로버 스포츠 3.0 SDV6 HSE 다이나믹,자동,5인승,6기통,292마력,61.2kgm,디젤,8만km,"4,500"
벤틀리 컨티넨탈 GT 4.0 V8,자동,4인승,8기통,507마력,67.3kgm,가솔린,3만km,
포드 익스플로러 2.3 에코부스트 리미티드,자동,,,,,가솔린,3천km,
벤츠 GLC 220d 4매틱 프리미엄,자동,5인승,4기통,170마력,40.8kgm,디젤,6만km,"4,000"
포르쉐 911 터보 S 카브리올레,자동,4인승,6기통,580마력,71.4kgm,가솔린,4만km,
페라리 GTC4 루쏘 6.3 V12,자동,4인승,12기통,690마력,71.1kgm,가솔린,1만km,
랜드로버 디스커버리4 3.0 SDV6 HSE,자동,7인승,6기통,255마력,61.2kgm,디젤,12만km,
벤츠 S63L AMG 4매틱,자동,5인승,8기통,585마력,91.8kgm,가솔린,9만km,
포르쉐 911 카레라 4 GTS,자동,4인승,6기통,450마력,56.1kgm,가솔린,1만km,
벤츠 S350L d,자동,5인승,6기통,258마력,63.2kgm,디젤,4만km,
마세라티 콰트로포르테 4.2 V8 스포트 GT,자동,5인승,8기통,400마력,46.9kgm,가솔린,7만km,
포르쉐 뉴 카이엔 3.0,자동,5인승,6기통,340마력,45.9kgm,가솔린,9천km,
벤츠 E 9세대 E63 AMG  ,자동,5인승,8기통,525마력,71.4kgm,가솔린,12만km,"3,600"
쉐보레 익스프레스밴 6.0,자동,,,,,가솔린,9만ml,"3,200"
아우디 R8 5.2 V10 퍼포먼스 쿠페 ,자동,2인승,10기통,610마력,57.1kgm,가솔린,1천km,
벤츠 CLS 450 4매틱 AMG 라인,자동,5인승,6기통,367마력,51kgm,가솔린,1만km,
도요타 알파드 3.5 익스클루시브 라운지,자동,,,,,가솔린,9만km,"7,700"
벤츠 스프린터 롱밴 2500L 밀레니엄 컨버전 밴,자동,,,,,디젤,6만ml,"5,200"
랜드로버 올 뉴 디스커버리 2.0 SD4 HSE,자동,7인승,4기통,240마력,51kgm,디젤,2만km,
포르쉐 파나메라 4.0 터보S E-하이브리드 ,자동,,,,,가솔린+전기,310km,
BMW 520d xDrive M 스포츠,자동,5인승,4기통,190마력,40.8kgm,디젤,1만km,
캐딜락 에스컬레이드 6.2 V8 ESV 4WD,자동,,,,,가솔린,15km,
벤츠 S450L 4매틱,자동,5인승,6기통,367마력,51kgm,가솔린,2만km,
미니 쿠퍼 3세대 1.5 5도어 ,자동,4인승,3기통,136마력,22.4kgm,가솔린,8만km,600
랜드로버 레인지로버 벨라 3.0 D300 R-다이나믹 HSE,자동,5인승,6기통,300마력,71.4kgm,디젤,4만km,
벤츠 S350,자동,5인승,,,,가솔린,9만km,"1,350"
