차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
현대 아반떼AD 1.6 T-GDi 스포츠  오리지널,수동,,,,,가솔린,10만km,"1,180"
현대 아반떼AD 1.6 T-GDi 스포츠  오리지널,자동,5인승,4기통,204마력,26.9kgm,가솔린,7만km,"1,090"
현대 더 뉴 아반떼 1.6 LPi  스마트,자동,5인승,,,,LPG,18만km,490
현대 포터2 초장축 슈퍼캡 CRDi  최고급형,수동,,,,,디젤,10만km,850
현대 포터2 초장축 더블캡 CRDi  최고급형,자동,,,,,디젤,14만km,650
현대 엑센트  1.4 VVT  스마트,자동,5인승,4기통,100마력,13.6kgm,가솔린,9만km,450
GM대우 뉴 다마스 코치 5인승 슈퍼,수동,5인승,4기통,43마력,6.7kgm,LPG,12만km,300
현대 쏘나타 G2.0 프리미엄 DN8,자동,5인승,4기통,160마력,20kgm,가솔린,2천km,"2,320"
기아 K7 프리미어 2.5 GDI X 에디션,자동,5인승,,,,가솔린,1만km,"3,120"
기아 더 뉴 레이 1.0 가솔린 시그니처,자동,5인승,3기통,76마력,9.7kgm,가솔린,1만km,"1,560"
기아 스포티지 더 볼드 2.0 디젤 2WD 프레스티지,자동,5인승,4기통,186마력,41kgm,디젤,1천km,"2,590"
쌍용 G4 렉스턴 2.2 디젤 4WD 헤리티지,자동,5인승,4기통,187마력,42.8kgm,디젤,4만km,"2,680"
기아 올 뉴 K3 G1.6 럭셔리,자동,5인승,4기통,123마력,15.7kgm,가솔린,8천km,"1,790"
현대 올 뉴 아반떼 G1.6 모던,자동,5인승,4기통,123마력,15.7kgm,가솔린,1만km,"2,190"
제네시스 더 올 뉴 G80 2.5 T-GDi AWD ,자동,5인승,6기통,304마력,42.9kgm,가솔린,2만km,"5,590"
현대 그랜져IG 3.0 LPi 모던,자동,5인승,6기통,235마력,28.6kgm,LPG,5만km,"2,380"
현대 더 뉴 아이오닉 일렉트릭 Q ,자동,5인승,,,,전기,2만km,"2,450"
현대 싼타페TM 2.2 디젤 2WD 프리미엄,자동,5인승,4기통,202마력,45kgm,디젤,4천km,70
기아 더 뉴 카니발 2.2 디젤 9인승 노블레스 스페셜,자동,9인승,4기통,202마력,45kgm,디젤,3만km,100
제네시스 GV80 3.0 디젤 5인승 ,자동,5인승,6기통,278마력,60kgm,디젤,9천km,300
제네시스 더 올 뉴 G80 2.2 디젤 AWD  ,자동,5인승,4기통,210마력,45kgm,디젤,4천km,"7,090"
제네시스 G80 3.8 GDi AWD 프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,5만km,"3,390"
제네시스 G80 3.3 GDi AWD 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,5만km,"3,090"
기아 올 뉴 K7 3.0 LPi 프레스티지,자동,5인승,6기통,235마력,28.6kgm,LPG,3만km,"2,390"
제네시스 G80 3.3 GDi 프리미엄 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,3만km,"3,350"
기아 올 뉴 K7 2.2 디젤 노블레스,자동,5인승,4기통,202마력,45kgm,디젤,7만km,"2,250"
기아 K3 1.6 GDI 럭셔리,자동,5인승,4기통,140마력,16.9kgm,가솔린,1만km,"1,020"
현대 쏘나타 G2.0 인스퍼레이션 DN8,자동,5인승,4기통,160마력,20kgm,가솔린,2천km,"2,999"
현대 쏘나타 G2.0 인스퍼레이션 DN8,자동,5인승,4기통,160마력,20kgm,가솔린,1천km,"3,050"
기아 모닝 어반 G1.0 시그니처 엣지-업,자동,5인승,,,,가솔린,795km,"1,450"
쌍용 뉴 체어맨W CW600  럭셔리,자동,5인승,6기통,225마력,30.2kgm,가솔린,5만km,"2,290"
기아 K9 3.3 GDI  이그제큐티브,자동,5인승,6기통,300마력,35.5kgm,가솔린,7만km,"2,190"
기아 더 뉴 니로 1.6 GDI HEV 노블레스 스페셜,자동,5인승,4기통,105마력,15kgm,가솔린+전기,1만km,"2,490"
기아 더 뉴 모닝 밴  고급형,자동,2인승,,,,가솔린,4만km,500
기아 레이 1.0 가솔린  럭셔리,자동,5인승,3기통,78마력,9.6kgm,가솔린,8만km,800
현대 싼타페DM 2.0 VGT 2WD  프리미엄,자동,,,,,디젤,7만km,"1,450"
기아 올 뉴 모닝 1.0 가솔린  럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,8만km,490
기아 K5 2세대 2.0 가솔린 MX  프레스티지,자동,5인승,4기통,168마력,20.5kgm,가솔린,11만km,"1,220"
현대 포터2 초장축 더블캡 CRDi 기본형,수동,,,,,디젤,10만km,490
현대 엑센트  1.4 VVT 위트  스마트,자동,5인승,4기통,100마력,13.6kgm,가솔린,8만km,760
쉐보레 더 넥스트 스파크 1.0 LT  플러스,자동,5인승,4기통,,,가솔린,7만km,650
현대 그랜져HG 300  프라임,자동,5인승,6기통,270마력,31.6kgm,가솔린,11만km,850
현대 아반떼HD 1.6 VVT E16  디럭스,자동,5인승,4기통,,,가솔린,7만km,390
현대 뉴 제네시스 G330  모던,자동,5인승,6기통,282마력,35.4kgm,가솔린,17만km,"1,580"
르노삼성 뉴 SM3 SE ,자동,5인승,4기통,112마력,15.9kgm,가솔린,8만km,340
기아 더 뉴 K7 2.4 GDI 프레스티지,자동,5인승,4기통,201마력,25.5kgm,가솔린,7만km,"1,190"
기아 쏘렌토R 2.0 리미티드 2WD  프리미엄,자동,7인승,4기통,184마력,40kgm,디젤,14만km,790
현대 투싼ix 디젤 LMX20 2WD  프리미엄,자동,5인승,4기통,184마력,40kgm,디젤,5만km,890
기아 더 뉴 카니발 2.2 디젤 9인승 럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,8만km,"2,010"
현대 그랜드스타렉스 WAGON 12인승 스마트,자동,,,,,디젤,8만km,"1,200"
현대 그랜져IG 2.4 GDI 프리미엄 스페셜,자동,5인승,4기통,190마력,24.6kgm,가솔린,11만km,"2,250"
기아 올 뉴 K7 2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,5만km,"1,930"
현대 그랜져HG 300 익스클루시브 ,자동,5인승,6기통,270마력,31.5kgm,가솔린,4만km,"1,530"
기아 더 뉴 K7 2.4 GDI 프레스티지,자동,5인승,4기통,201마력,25.5kgm,가솔린,5만km,"1,290"
기아 더 뉴 K9  3.3 GDI 이그제큐티브,자동,5인승,6기통,300마력,35.5kgm,가솔린,8만km,"2,070"
현대 그랜져IG  2.4 GDI 프리미엄,자동,5인승,4기통,190마력,24.6kgm,가솔린,11만km,"1,780"
기아 더 뉴 쏘렌토  2.0 디젤 2WD 노블레스 스페셜,자동,5인승,4기통,186마력,41kgm,디젤,7만km,"2,060"
기아 올 뉴 K7 2.2 디젤 프레스티지,자동,5인승,,,,디젤,10만km,"1,690"
기아 올 뉴 K7  2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,8만km,"1,900"
쉐보레 임팔라 3.6 LTZ,자동,5인승,6기통,309마력,36.5kgm,가솔린,11만km,"1,430"
쉐보레 임팔라 3.6 LTZ,자동,5인승,6기통,309마력,36.5kgm,가솔린,9만km,"1,530"
현대 그랜져IG  2.2 e-VGT 프리미엄,자동,5인승,4기통,202마력,45kgm,디젤,8만km,"1,990"
기아 K5 2세대 2.0 가솔린 MX 시그니처,자동,5인승,4기통,168마력,20.5kgm,가솔린,11만km,"1,460"
현대 그랜져IG 2.2 e-VGT 프리미엄 스페셜,자동,5인승,4기통,202마력,45kgm,디젤,15만km,"1,750"
쉐보레 말리부 2.0  LTZ 디럭스팩,자동,5인승,6기통,141마력,18.8kgm,가솔린,10만km,560
기아 스포티지R 2.0 디젤 2WD  TLX 최고급형,자동,5인승,4기통,184마력,40kgm,디젤,11만km,740
쉐보레 더 넥스트 스파크 1.0 LTZ ,자동,5인승,4기통,75마력,9.6kgm,가솔린,4만km,760
﻿쌍용 티볼리 에어 1.5 가솔린 2WD  A3,자동,5인승,4기통,163마력,26.5kgm,가솔린,2천km,"1,990"
기아 모하비 더 마스터 3.0 디젤 4WD 7인승 마스터즈,자동,7인승,6기통,260마력,56.1kgm,디젤,1천km,0
기아 카니발 4세대 2.2 디젤 9인승 시그니처,자동,9인승,,,,디젤,900km,0
기아 뉴 카렌스 2.0 LPI 프리미엄,자동,7인승,4기통,141마력,19kgm,LPG,13만km,290
기아 그랜드카니발 리미티드 최고급형,자동,9인승,4기통,170마력,36kgm,디젤,15만km,300
기아 올 뉴 모닝 1.0 가솔린 럭셔리 스포츠,자동,5인승,3기통,82마력,9.6kgm,가솔린,8만km,350
현대 아반떼MD M16 GDi 프리미어,자동,5인승,,,,가솔린,12만km,380
기아 K7 VG270 LPI 프레스티지,자동,5인승,,,,LPG,14만km,540
현대 그랜져HG 300 LPG 프라임,자동,5인승,,,,LPG,7만km,990
쌍용 코란도 스포츠 CX7 4WD 패션,자동,5인승,,,,디젤,12만km,"1,320"
기아 더 뉴 카니발 2.2 디젤 9인승 럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,2만km,"2,290"
기아 올 뉴 K7 2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,4만km,"2,250"
현대 그랜져TG Q270 모젠 럭셔리,자동,5인승,6기통,192마력,25.5kgm,가솔린,4만km,370
기아 스포티지R 2.0 T-GDI 2WD TLX 최고급형,자동,5인승,,,,가솔린,8만km,"1,030"
현대 그랜져IG 2.4 GDI 모던,자동,5인승,4기통,190마력,24.6kgm,가솔린,5만km,"2,040"
현대 그랜져HG 300 익스클루시브 ,자동,5인승,6기통,270마력,31.5kgm,가솔린,5만km,"1,630"
기아 K5 2.0 프레스티지,자동,5인승,4기통,165마력,20.2kgm,가솔린,14만km,630
현대 더 뉴 맥스크루즈 R2.2 e-VGT 4WD 프레스티지,자동,7인승,4기통,202마력,45kgm,디젤,5만km,"2,430"
제네시스 더 올 뉴 G80 2.5 T-GDi,자동,5인승,6기통,304마력,42.9kgm,가솔린,4천km,0
현대 NF쏘나타 N20 블랙 프리미엄,자동,5인승,4기통,144마력,19.2kgm,가솔린,24만km,200
기아 쏘렌토 4세대 G1.6T HEV 2WD 시그니처,자동,5인승,4기통,230마력,35.7kgm,가솔린+전기,162km,0
기아 카니발 4세대 2.2 디젤 9인승 시그니처,자동,9인승,,,,디젤,1천km,0
기아 모하비 더 마스터 3.0 디젤 4WD 5인승 마스터즈,자동,5인승,6기통,260마력,56.1kgm,디젤,2천km,0
기아 K5 G2.0 노블레스,자동,5인승,,,,가솔린,4천km,0
기아 카니발 4세대 2.2 디젤 9인승 노블레스,자동,9인승,,,,디젤,2천km,0
기아 K5 G2.0 노블레스,자동,5인승,,,,가솔린,1만km,0
현대 더 뉴 그랜져 G2.5 익스클루시브,자동,5인승,,,,가솔린,1만km,0
기아 올 뉴 카니발 3.3 GDi 9인승 노블레스,자동,9인승,6기통,280마력,34.7kgm,가솔린,4만km,"3,190"
에스 카니발 하이루프 리무진,자동,9인승,,,,디젤,70km,"9,300"
현대 뉴 에쿠스 VS 380  프라임 VIP팩,자동,5인승,6기통,290마력,36.5kgm,가솔린,17만km,"1,070"
쉐보레 스파크 LT  스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,10만km,295
현대 그랜져HG 240  모던 컬렉션,자동,5인승,4기통,190마력,25.5kgm,가솔린,12만km,975
현대 그랜저 뉴 럭셔리 Q270  프리미어,자동,5인승,6기통,195마력,25.5kgm,가솔린,10만km,370
쉐보레 크루즈 1.8 LT ,자동,5인승,4기통,142마력,17.9kgm,가솔린,7만km,432
현대 뉴 제네시스 G330 프리미엄,자동,5인승,6기통,282마력,35.4kgm,가솔린,14만km,"1,725"
르노삼성 SM5 뉴 임프레션 LE 익스클루시브 ,자동,5인승,4기통,143마력,20kgm,가솔린,13만km,275
현대 뉴 에쿠스 VS 380  프레스티지 VIP Ⅰ,자동,5인승,6기통,290마력,36.5kgm,가솔린,23만km,"1,100"
현대 뉴 에쿠스 VS 380 프레스티지 VIP Ⅰ,자동,5인승,6기통,290마력,36.5kgm,가솔린,21만km,970
기아 오피러스 프리미엄 GH330 고급형 럭셔리,자동,5인승,6기통,259마력,32.2kgm,가솔린,12만km,535
기아 K3 쿱 1.6 T-GDi 노블레스,수동,5인승,4기통,204마력,27kgm,가솔린,5만km,860
현대 뉴 에쿠스 VS 500 프레스티지,자동,5인승,,,,가솔린,26만km,"1,990"
현대 더 뉴 제네시스 쿠페 380 GT R,자동,4인승,6기통,350마력,40.8kgm,가솔린,11만km,"1,650"
기아 더 뉴 K7 2.4 GDI 프레스티지,자동,5인승,4기통,201마력,25.5kgm,가솔린,4만km,"1,690"
기아 올 뉴 카니발 2.2 디젤 9인승 노블레스,자동,9인승,4기통,202마력,45kgm,디젤,8만km,"2,090"
쌍용 코란도 C 클러비 2WD 파크,자동,5인승,4기통,181마력,36.7kgm,디젤,16만km,590
현대 포터2 초장축 슈퍼캡 CRDi  최고급형,자동,,,,,디젤,14만km,530
현대 싼타페 더스타일 2.2 e-VGT MLX 2WD  럭셔리,자동,7인승,4기통,200마력,44.5kgm,디젤,8만km,540
기아 오피러스 프리미엄 GH330  프레스티지,자동,5인승,6기통,259마력,32.2kgm,가솔린,13만km,340
기아 쏘울 1.6 4U  코스모,자동,5인승,4기통,124마력,15.9kgm,디젤,7만km,310
기아 쏘렌토R 2.2 TLX 4WD  프리미엄,자동,7인승,4기통,200마력,44.5kgm,디젤,12만km,680
현대 싼타페CM 2.0 VGT 스타일 팩 2WD ,자동,7인승,4기통,151마력,34kgm,디젤,12만km,280
기아 올 뉴 모닝 1.0 가솔린  럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,7만km,370
현대 그랜드스타렉스 WAGON 11인승  CVX 럭셔리,자동,11인승,,,,디젤,12만km,530
현대 그랜드스타렉스 WAGON 11인승  CVX 프리미엄,자동,11인승,,,,디젤,7만km,480
GM대우 윈스톰 LT 5인승 2WD  고급형,자동,5인승,4기통,150마력,32.6kgm,디젤,11만km,170
현대 그랜져TG Q270  럭셔리,자동,5인승,6기통,195마력,25.6kgm,가솔린,8만km,190
현대 그랜져HG 240  모던,자동,5인승,4기통,201마력,25.5kgm,가솔린,9만km,710
제네시스 EQ900 3.3 T-GDi AWD 프레스티지,자동,4인승,6기통,370마력,52kgm,가솔린,4만km,"3,899"
현대 그랜져IG 하이브리드 2.4 HEV 익스클루시브 스페셜,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,3만km,"2,699"
현대 싼타페TM 2.0 T-GDi 2WD 인스퍼레이션,자동,5인승,4기통,235마력,36kgm,가솔린,1만km,"2,869"
제네시스 EQ900 3.8 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,4만km,"3,999"
제네시스 G70 2.0 T-GDi  스포츠 패키지,자동,5인승,4기통,255마력,36kgm,가솔린,2만km,"3,799"
르노삼성 XM3 1.3 TCe  RE,자동,5인승,4기통,152마력,26kgm,가솔린,2만km,"1,799"
현대 더 뉴 제네시스 쿠페 380 GT R,자동,4인승,6기통,350마력,40.8kgm,가솔린,10만km,"1,480"
현대 더 뉴 아반떼AD G1.6 스타일,자동,5인승,4기통,123마력,15.7kgm,가솔린,1만km,"1,680"
현대 더 뉴 제네시스 쿠페 200 터보 S,자동,4인승,4기통,275마력,38kgm,가솔린,16만km,"1,090"
쌍용 렉스턴 스포츠 칸 2.2 디젤 4WD 프로페셔널 S,자동,,,,,디젤,4만km,"2,480"
현대 LF쏘나타 2.0 CVVL  스마트,자동,5인승,4기통,168마력,20.5kgm,가솔린,12만km,730
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,10만km,"2,350"
르노삼성 마스터 2.3 디젤 캠핑카,수동,,,,,디젤,2만km,"3,199"
﻿쉐보레 올 뉴 말리부 1.5 터보 LTZ ,자동,5인승,4기통,166마력,25.5kgm,가솔린,6만km,"1,540"
쌍용 체어맨W CW600  프레스티지,자동,5인승,6기통,225마력,30.2kgm,가솔린,9만km,590
쉐보레 올 뉴 크루즈 1.4 터보 LT  디럭스,자동,5인승,4기통,153마력,24.5kgm,가솔린,4만km,"1,100"
쉐보레 크루즈 2.0 LTZ  플러스,자동,5인승,4기통,163마력,36.7kgm,가솔린,9만km,480
쉐보레 크루즈 1.4 터보 LTZ  플러스,자동,5인승,4기통,130마력,20.4kgm,가솔린,8만km,550
쉐보레 트랙스 1.4 가솔린  LT 레더 패키지,자동,5인승,4기통,140마력,20.4kgm,디젤,10만km,830
기아 오피러스 프리미엄 GH330  고급형,자동,5인승,6기통,259마력,32.2kgm,가솔린,13만km,490
쉐보레 콜로라도 3.6 V6 4WD  익스트림-X,자동,5인승,,,,가솔린,2만km,"3,650"
현대 YF쏘나타 2.0 Y20  프리미어 최고급형,자동,5인승,4기통,165마력,20.2kgm,가솔린,14만km,499
쉐보레 임팔라 2.5 LTZ,자동,5인승,4기통,199마력,26kgm,가솔린,14만km,"1,170"
기아 모하비 KV300 4WD  최고급형 ,자동,7인승,6기통,250마력,55.1kgm,디젤,11만km,"1,590"
기아 K3 1.6 GDI 럭셔리,자동,5인승,4기통,140마력,16.9kgm,가솔린,10만km,660
쌍용 티볼리 1.6 가솔린 2WD  VX,자동,5인승,4기통,126마력,16kgm,가솔린,11만km,980
기아 스포티지R 2.0 디젤 2WD TLX 고급형,자동,5인승,4기통,184마력,40kgm,디젤,11만km,799
기아 올 뉴 쏘울 1.6 GDI 프레스티지,자동,5인승,4기통,132마력,16.3kgm,가솔린,10만km,"1,040"
현대 더 뉴 그랜드스타렉스 밴 3인승  스마트,자동,3인승,,,,디젤,7만km,"1,920"
기아 올 뉴 프라이드 1.6 GDI 해치백 프레스티지,자동,5인승,4기통,140마력,16.9kgm,가솔린,11만km,550
쉐보레 올란도 2.0 디젤 LTZ 프리미엄,자동,7인승,4기통,163마력,36.7kgm,디젤,12만km,610
쉐보레 스파크 LT  스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,10만km,370
현대 LF쏘나타 2.0 CVVL 스마트,자동,5인승,4기통,168마력,20.5kgm,가솔린,8만km,"1,200"
GM대우 알페온 스페셜  일반형,자동,5인승,,,,가솔린,10만km,599
기아 쏘울 1.6 스마트,자동,5인승,4기통,124마력,15.9kgm,가솔린,12만km,540
기아 K5 2.0  프레스티지,자동,5인승,4기통,165마력,20.2kgm,가솔린,11만km,650
현대 그랜저 뉴 럭셔리 Q270  디럭스,자동,5인승,6기통,195마력,25.5kgm,가솔린,12만km,349
현대 벨로스터 1.6 T-GDi 스포츠 코어 JS,자동,4인승,4기통,204마력,27.0kgm,가솔린,2만km,"1,760"
현대 포터2 초장축 슈퍼캡 HI-SUP  기본형,자동,,,,,디젤,9만km,"1,050"
현대 그랜드스타렉스 VAN 3인승  CVX 럭셔리 ,자동,3인승,,,,디젤,8만km,650
기아 더 뉴 스포티지R 2.0 디젤 2WD 트렌디,자동,5인승,4기통,184마력,41kgm,디젤,11만km,"1,080"
쌍용 렉스턴 스포츠 2.2 디젤 4WD 어드벤처,자동,5인승,,,,디젤,6만km,"2,259"
기아 스토닉 1.6 디젤  트렌디,자동,5인승,4기통,110마력,30.6kgm,디젤,1만km,"1,599"
쌍용 코란도 투리스모 2.0 디젤 4WD LT 9인승,자동,9인승,4기통,155마력,36.7kgm,디젤,14만km,720
현대 싼타페 더 프라임 2.0 디젤 2WD  익스클루시브,자동,7인승,4기통,186마력,41kgm,디젤,10만km,"1,689"
현대 뉴 i30 1.6 VGT  익스트림,자동,5인승,4기통,128마력,26.5kgm,디젤,14만km,749
기아 K5 2.4 GDI 노블레스,자동,5인승,4기통,201마력,25.5kgm,가솔린,12만km,690
르노삼성 QM3 RE ,자동,5인승,4기통,90마력,22.4kgm,디젤,6만km,870
기아 올 뉴 쏘렌토 2.0 T-GDi 2WD  프레스티지,자동,5인승,4기통,240마력,36kgm,디젤,9만km,"1,750"
현대 뉴 제네시스 G330 모던 AWD,자동,5인승,6기통,282마력,35.4kgm,가솔린,12만km,"2,120"
르노삼성 QM3 RE ,자동,5인승,4기통,90마력,22.4kgm,디젤,9만km,899
기아 스포티지R 2.0 디젤 2WD  TLX 최고급형,자동,5인승,4기통,184마력,40kgm,디젤,12만km,830
쌍용 G4 렉스턴 2.2 디젤 4WD  유라시아 에디션,자동,5인승,4기통,187마력,42.8kgm,디젤,7만km,"2,399"
기아 K9 3.3 GDI  프레스티지,자동,5인승,6기통,300마력,35.5kgm,가솔린,9만km,"1,480"
르노삼성 SM3 네오 SE 플러스,자동,5인승,4기통,117마력,16.1kgm,가솔린,11만km,599
기아 포르테 쿱 2.0 CVVT  고급형 레드프리미엄,자동,5인승,4기통,158마력,20.2kgm,가솔린,9만km,450
기아 쏘렌토R 2.0 TLX 2WD  최고급형,자동,7인승,4기통,184마력,40kgm,디젤,12만km,790
현대 쏘나타 하이브리드 2.0 HEV 로얄,자동,5인승,4기통,191마력,27kgm,가솔린+전기,11만km,600
현대 그랜드스타렉스 12인승 어린이 보호차량,자동,12인승,,,,디젤,14만km,450
GM대우 베리타스 FC360 프리미엄,자동,5인승,,,,가솔린,11만km,590
쉐보레 말리부 2.0 LT,자동,5인승,6기통,141마력,18.8kgm,가솔린,14만km,570
르노삼성 QM6 2.0 GDe 2WD  RE 시그니처,자동,5인승,4기통,144마력,20.4kgm,디젤,6만km,"1,890"
쌍용 액티언 스포츠 AX7 4WD  패션,자동,5인승,,,,디젤,14만km,460
기아 K3 쿱 1.6 GDi  럭셔리,자동,5인승,4기통,140마력,16.9kgm,가솔린,11만km,690
GM대우 알페온 CL240 디럭스,자동,5인승,,,,가솔린,9만km,510
기아 더 뉴 카니발 3.3 가솔린 9인승 하이리무진 노블레스 스페셜,자동,9인승,6기통,280마력,34.7kgm,가솔린,4만km,"4,950"
기아 뉴 오피러스 GH270 LPI  고급형,자동,5인승,,,,LPG,7만km,300
르노삼성 SM7 뉴 아트 프레스티지 ,자동,5인승,6기통,170마력,23kgm,가솔린,16만km,270
현대 포터2 초장축 슈퍼캡 내장탑차  스마트,자동,3인승,,,,디젤,12만km,360
현대 벨로스터 익스트림  터보,자동,4인승,4기통,204마력,26.9kgm,가솔린,6만km,530
기아 올 뉴 모닝 1.0 가솔린  스마트 스페셜,자동,5인승,3기통,82마력,9.6kgm,가솔린,7만km,320
르노삼성 뉴 SM5  SE  플러스,자동,5인승,4기통,141마력,19.8kgm,가솔린,11만km,320
쌍용 뉴체어맨 CM400S 트라이엄,자동,5인승,4기통,150마력,22.4kgm,가솔린,13만km,100
현대 아반떼AD 1.6 e-VGT 스마트 스페셜,자동,5인승,4기통,136마력,26.5kgm,디젤,2만km,"1,150"
현대 벨로스터 유니크,수동,4인승,4기통,140마력,17kgm,가솔린,15만km,480
GM대우 마티즈 MD,자동,5인승,3기통,52마력,7.3kgm,가솔린,11만km,500
기아 올 뉴 모닝 1.0 가솔린 디럭스 스페셜,자동,5인승,3기통,82마력,9.6kgm,가솔린,9만km,320
기아 더 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스 스페셜,자동,9인승,4기통,202마력,45kgm,디젤,2만km,"4,250"
기아 그랜드카니발 R GLX 고급형,자동,11인승,,,,디젤,18만km,450
기아 올 뉴 쏘렌토 2.0 디젤 2WD  프레스티지,자동,5인승,4기통,186마력,41kgm,디젤,15만km,"1,530"
쉐보레 스파크 LT  스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,9만km,270
기아 카니발 4세대 2.2 디젤 9인승 시그니처,자동,9인승,,,,디젤,4천km,100
현대 뉴 에쿠스 VL 500 프레스티지,자동,5인승,8기통,416마력,52kgm,가솔린,18만km,"2,450"
﻿현대 팰리세이드 3.8 가솔린 4WD 프레스티지,자동,,,,,가솔린,2만km,"3,920"
현대 쏘나타 하이브리드 G2.0 GDi HEV 인스퍼레이션,자동,5인승,4기통,195마력,27kgm,가솔린+전기,1만km,"2,480"
기아 올 뉴 카니발 2.2 디젤 9인승 노블레스,자동,9인승,4기통,202마력,45kgm,디젤,7만km,"2,250"
제네시스 G80 3.3 T-GDi AWD 스포츠,자동,5인승,6기통,370마력,52kgm,가솔린,8만km,"3,550"
제네시스 G80 3.3 GDi AWD 프리미엄 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,7만km,"2,799"
기아 스팅어 2.0 T-GDi  플래티넘,자동,5인승,4기통,255마력,36kgm,가솔린,8만km,"2,080"
제네시스 G80 3.3 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,9만km,"2,480"
제네시스 EQ900 3.8 GDi 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,3만km,"3,940"
제네시스 G80 3.3 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,8만km,"3,320"
현대 싼타페 더 프라임 2.0 디젤 2WD  프리미엄,자동,,,,,디젤,4만km,"1,590"
현대 그랜져IG 3.0 LPi  모던,자동,5인승,6기통,235마력,28.6kgm,LPG,5만km,"1,850"
기아 더 K9 3.8 GDI AWD 플래티넘Ⅰ,자동,5인승,,,,가솔린,4만km,"3,899"
현대 그랜져HG 220 디젤 프리미엄,자동,5인승,4기통,202마력,45kgm,디젤,5만km,"1,470"
제네시스 G80 3.3 GDi AWD 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,4만km,"3,199"
제네시스 G70 2.0 T-GDi 슈프림,자동,5인승,4기통,252마력,36kgm,가솔린,4만km,"3,020"
쌍용 렉스턴 스포츠 2.2 디젤 4WD  노블레스,자동,5인승,,,,디젤,6만km,"2,390"
기아 올 뉴 K3 G1.6  노블레스,자동,5인승,4기통,123마력,15.7kgm,가솔린,9천km,"1,750"
기아 스팅어 2.0 T-GDi 익스트림 팩,자동,5인승,4기통,255마력,36kgm,가솔린,2만km,"2,790"
기아 올 뉴 카니발 2.2 디젤 9인승  프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,8만km,"1,950"
기아 스팅어 2.0 T-GDi 플래티넘,자동,5인승,4기통,255마력,36kgm,가솔린,7만km,"2,690"
르노삼성 SM6 2.0 GDe LE,자동,5인승,4기통,150마력,20.6kgm,가솔린,4만km,"1,350"
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,7만km,"1,980"
쌍용 뷰티풀 코란도 1.6 디젤 2WD 딜라이트 ,자동,5인승,4기통,136마력,32.9kgm,디젤,2만km,"1,790"
쉐보레 캡티바 2.2 디젤 4WD  LTZ,자동,5인승,4기통,184마력,40.8kgm,디젤,8만km,"1,050"
기아 올 뉴 쏘렌토 2.0 디젤 2WD  노블레스,자동,5인승,4기통,186마력,41kgm,디젤,8만km,"1,639"
제네시스 EQ900 3.3 T-GDi AWD 프리미엄 럭셔리,자동,5인승,6기통,370마력,52kgm,가솔린,6만km,"4,899"
현대 쏘나타 뉴 라이즈 2.0 CVVL 모던,자동,5인승,4기통,163마력,20kgm,가솔린,4만km,"1,699"
현대 팰리세이드 3.8 가솔린 4WD 프레스티지,자동,,,,,가솔린,1만km,"3,660"
제네시스 더 올 뉴 G80 2.5 T-GDi AWD  ,자동,5인승,6기통,304마력,42.9kgm,가솔린,9천km,"5,999"
제네시스 G80 3.3 GDi AWD  프레스티지,자동,5인승,6기통,282마력,35.4kgm,가솔린,4만km,"2,590"
제네시스 G80 3.3 GDi AWD  럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,5만km,"3,330"
기아 올 뉴 K7 3.0 LPi  럭셔리,자동,5인승,,,,LPG,7만km,"1,799"
현대 그랜져IG 하이브리드 2.4 HEV  익스클루시브 스페셜,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,4만km,"3,090"
