차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
기아 올 뉴 K3 G1.6 프레스티지,자동,5인승,4기통,123마력,15.7kgm,가솔린,147km,"1,950"
현대 LF쏘나타 2.0 LPi 모던,자동,5인승,,,,LPG,12만km,990
현대 그랜져HG 300 LPG 모던,자동,5인승,,,,LPG,15만km,"1,190"
쉐보레 더 넥스트 스파크 1.0 LT 플러스,자동,5인승,4기통,,,가솔린,7만km,590
GM대우 라세티 프리미어 SX 고급형,자동,5인승,4기통,124마력,15.7kgm,가솔린,10만km,430
스타렉스 이동사무차,수동,,,,,LPG,14만km,390
기아 올 뉴 카렌스 1.7 VGT 럭셔리,자동,7인승,4기통,140마력,32.9kgm,디젤,15만km,850
기아 뉴모닝 LX 고급형 블랙프리미엄,자동,5인승,4기통,72마력,9.2kgm,가솔린,6만km,390
기아 포르테 해치백 1.6 GDI 럭셔리,자동,5인승,4기통,140마력,16.9kgm,가솔린,9만km,490
기아 쏘울 1.6 GDi 럭셔리,자동,5인승,4기통,140마력,16.9kgm,디젤,6만km,830
기아 봉고3 내장 탑차,자동,2인승,,,,디젤,5만km,"1,490"
쉐보레 스파크 LT,자동,5인승,4기통,70마력,9.4kgm,가솔린,8만km,430
기아 올 뉴 K7 3.0 LPi 럭셔리,자동,5인승,,,,LPG,16만km,"1,450"
르노삼성 뉴SM5 플래티넘 디젤 D 스페셜,자동,5인승,4기통,110마력,24.5kgm,디젤,6만km,790
기아 그랜드카니발 GLX 고급형,자동,11인승,,,,디젤,12만km,"1,250"
현대 NF쏘나타 트랜스폼 N20 LPI 프리미어,자동,5인승,,,,LPG,17만km,399
현대 스타렉스 점보 3.0 LPG 12인승 SVX 고급형,수동,12인승,,,,LPG,19만km,255
기아 스포티지R 2.0 디젤 2WD TLX 최고급형,자동,5인승,4기통,184마력,40kgm,디젤,8만km,830
현대 그랜져HG 300 LPG 익스클루시브,자동,5인승,,,,LPG,16만km,"1,430"
기아 포르테 쿱 1.6 GDI 프레스티지,자동,5인승,4기통,140마력,16.9kgm,가솔린,12만km,430
기아 올 뉴 K7 3.0 LPi 럭셔리,자동,5인승,,,,LPG,16만km,"1,450"
쌍용 티볼리 에어 1.6 디젤 2WD IX,자동,5인승,4기통,115마력,30.6kgm,디젤,10만km,"1,190"
기아 더 뉴 카렌스 2.0 LPi 디럭스,자동,5인승,4기통,148마력,19.7kgm,LPG,18만km,890
현대 스타렉스 점보 CRDi 2WD 9인승 GRX 고급형,자동,,,,,디젤,17만km,390
쌍용 티볼리 에어 1.6 디젤 2WD AX,자동,5인승,4기통,115마력,30.6kgm,디젤,11만km,"1,150"
쌍용 티볼리 에어 1.6 디젤 2WD AX,자동,5인승,4기통,115마력,30.6kgm,디젤,10만km,"1,150"
GM대우 라세티 프리미어 SX 일반형,자동,5인승,4기통,114마력,15.5kgm,가솔린,11만km,390
﻿쌍용 티볼리 아머 1.6 디젤 2WD  기어 플러스,자동,5인승,4기통,115마력,30.6kgm,디젤,3만km,"1,500"
현대 포터2 초장축 슈퍼캡 CRDi  기본형,자동,,,,,디젤,29만km,390
현대 싼타페CM 2.0 VGT CLX 2WD 최고급형,자동,7인승,4기통,151마력,34kgm,디젤,20만km,330
기아 더 뉴 레이 1.0 가솔린  프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,3만km,"1,340"
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,8만km,250
GM대우 G2X 2.0 터보,자동,2인승,,,,가솔린,7만km,"1,510"
현대 YF쏘나타 2.0 Y20 LPi 럭셔리 장애인용,자동,5인승,,,,LPG,4만km,810
르노삼성 뉴 SM3 LE,자동,5인승,4기통,112마력,15.9kgm,가솔린,13만km,330
